Date,Open,High,Low,Close,Adj Close,Volume
2022-07-14,44.240002,45.349998,43.910000,44.660000,44.253155,1219782
2022-07-15,44.779999,46.310001,44.779999,46.049999,45.630489,746098
2022-07-18,46.049999,46.099998,44.599998,45.910000,45.491768,1103886
2022-07-19,45.950001,46.099998,45.480000,45.910000,45.491768,1370436
2022-07-20,45.509998,45.730000,44.340000,45.419998,45.006229,1442802
2022-07-21,45.700001,46.000000,44.990002,45.849998,45.432312,662196
2022-07-22,45.980000,46.110001,45.070000,45.349998,44.936867,607400
2022-07-25,45.410000,46.200001,45.410000,46.029999,45.610672,2635129
2022-07-26,46.080002,46.900002,45.840000,46.410000,45.987213,1021658
2022-07-27,46.709999,47.580002,46.259998,47.130001,46.700653,1398909
2022-07-28,47.029999,47.540001,46.580002,47.349998,46.918648,1524502
2022-07-29,47.110001,47.310001,45.860001,46.139999,45.719669,2206317
2022-08-01,46.480000,46.750000,46.029999,46.160000,45.739491,691938
2022-08-02,45.820000,45.820000,44.900002,45.209999,45.209999,855980
2022-08-03,45.299999,45.509998,43.930000,44.439999,44.439999,1044671
2022-08-04,44.400002,45.270000,44.290001,44.759998,44.759998,1340003
2022-08-05,44.380001,45.939999,44.380001,45.259998,45.259998,996751
2022-08-08,45.299999,45.700001,44.759998,45.099998,45.099998,1037881
2022-08-09,44.849998,44.910000,43.830002,43.919998,43.919998,526571
2022-08-10,44.000000,45.250000,43.750000,45.020000,45.020000,1125253
2022-08-11,44.869999,45.270000,44.200001,44.549999,44.549999,1167449
2022-08-12,44.209999,44.849998,44.099998,44.279999,44.279999,981246
2022-08-15,44.400002,45.470001,44.310001,44.680000,44.680000,848348
2022-08-16,44.680000,45.290001,43.830002,44.189999,44.189999,1776526
2022-08-17,44.189999,44.680000,43.840000,44.029999,44.029999,1294912
2022-08-18,43.930000,44.389999,43.400002,43.820000,43.820000,1071145
2022-08-19,44.020000,44.590000,43.480000,43.980000,43.980000,563050
2022-08-22,43.930000,44.500000,43.740002,44.080002,44.080002,564815
2022-08-23,43.869999,44.029999,43.520000,43.660000,43.660000,315637
2022-08-24,43.610001,45.049999,43.610001,44.549999,44.549999,1172519
2022-08-25,44.450001,44.549999,43.709999,44.250000,44.250000,704740
2022-08-26,43.759998,43.880001,42.860001,42.959999,42.959999,347775
2022-08-29,43.130001,43.139999,41.509998,41.770000,41.770000,1248945
2022-08-30,41.900002,42.380001,41.139999,41.880001,41.880001,1414284
2022-08-31,41.900002,41.990002,40.810001,41.200001,41.200001,4062315
2022-09-01,41.150002,41.639999,40.860001,41.040001,41.040001,831343
2022-09-02,40.970001,41.650002,40.970001,41.330002,41.330002,1194998
2022-09-05,41.910000,41.910000,41.169998,41.349998,41.349998,28664
2022-09-06,41.169998,41.310001,40.709999,41.040001,41.040001,1330425
2022-09-07,40.840000,41.630001,40.470001,40.590000,40.590000,893403
2022-09-08,40.150002,41.349998,39.509998,40.759998,40.759998,1116537
2022-09-09,40.779999,40.980000,40.360001,40.910000,40.910000,980753
2022-09-12,41.020000,41.509998,40.880001,41.330002,41.330002,798017
2022-09-13,41.360001,41.410000,40.160000,40.410000,40.410000,846891
2022-09-14,40.169998,40.400002,39.849998,39.980000,39.980000,964278
2022-09-15,40.110001,40.119999,38.660000,39.180000,39.180000,4275462
2022-09-19,39.180000,41.290001,39.080002,40.509998,40.509998,1788448
2022-09-20,40.680000,40.849998,39.709999,40.200001,40.200001,1247932
2022-09-21,40.299999,40.450001,39.560001,39.660000,39.660000,818256
2022-09-22,39.560001,39.560001,38.509998,38.790001,38.790001,843756
2022-09-23,38.910000,38.910000,37.580002,38.070000,38.070000,745432
2022-09-26,38.110001,38.110001,36.349998,36.580002,36.580002,1104735
2022-09-27,37.160000,37.660000,35.900002,35.990002,35.990002,670540
2022-09-28,35.990002,37.110001,35.450001,36.590000,36.590000,1363504
2022-09-29,36.020000,36.720001,35.200001,35.540001,35.540001,1390472
2022-09-30,35.799999,36.580002,35.150002,35.529999,35.529999,2050454
2022-10-03,35.580002,36.139999,35.160000,35.450001,35.450001,1186107
2022-10-04,35.730000,35.990002,35.029999,35.970001,35.970001,1769923
2022-10-05,36.000000,37.150002,35.950001,36.889999,36.889999,1423563
2022-10-06,37.180000,37.930000,36.439999,36.650002,36.650002,6771174
2022-10-07,36.430000,36.990002,35.740002,36.750000,36.750000,7171421
2022-10-10,36.799999,36.799999,35.299999,35.770000,35.770000,894240
2022-10-11,35.709999,37.099998,35.490002,36.790001,36.790001,1641802
2022-10-12,36.990002,38.009998,36.549999,36.610001,36.610001,5228803
2022-10-13,36.299999,37.700001,36.020000,37.240002,37.240002,3662516
2022-10-14,37.270000,37.959999,36.900002,37.900002,37.900002,2576280
2022-10-17,37.880001,38.270000,37.340000,37.720001,37.720001,502227
2022-10-18,37.720001,38.180000,37.040001,37.299999,37.299999,1793031
2022-10-19,37.270000,37.470001,37.000000,37.290001,37.290001,2467756
2022-10-20,37.270000,37.290001,36.810001,37.110001,37.110001,1513339
2022-10-21,37.230000,37.570000,37.000000,37.259998,37.259998,1228423
2022-10-24,37.459999,38.610001,37.360001,38.509998,38.509998,768886
2022-10-25,38.369999,39.270000,38.340000,38.799999,38.799999,1647967
2022-10-26,39.000000,40.290001,39.000000,40.119999,40.119999,3681507
2022-10-27,40.099998,40.990002,39.700001,40.060001,40.060001,1163443
2022-10-28,40.200001,42.250000,40.200001,41.759998,41.759998,4236787
2022-10-31,41.939999,42.549999,41.349998,41.959999,41.959999,2148974
2022-11-01,41.910000,43.029999,41.910000,42.520000,42.520000,1683402
2022-11-03,42.720001,43.520000,42.139999,42.400002,42.400002,2145623
2022-11-04,42.419998,42.799999,41.900002,42.480000,42.480000,701433
2022-11-07,42.480000,42.790001,41.619999,42.110001,42.110001,1024302
2022-11-08,42.200001,42.220001,40.700001,41.099998,41.099998,918927
2022-11-09,41.110001,41.610001,40.889999,41.389999,41.389999,1144943
